2nd Sequence 1st Section,MB2Sq1Se,2.9,1.9,1.0,4.1,-1.0,-1.9,-2.9
2nd Sequence 2nd Section,MB2Sq2Se,3.3,2.2,1.1,4.5,-1.1,-2.2,-3.3
Pattern Dance Element,1BL1,1.8,1.2,0.6,3.2,-0.5,-1.0,-1.5 
Blues,1BL2,1.8,1.2,0.6,3.8,-0.5,-1.0,-1.5 
Sequence with Step#1 on the,1BL3,1.8,1.2,0.6,4.4,-0.5,-1.0,-1.5 
Judges’ side,1BL4,1.8,1.2,0.6,5.0,-0.5,-1.0,-1.5 
Pattern Dance Element,2BL1,1.8,1.2,0.6,3.2,-0.5,-1.0,-1.5 
Blues,2BL2,1.8,1.2,0.6,3.8,-0.5,-1.0,-1.5 
Sequence with Step#1 on the,2BL3,1.8,1.2,0.6,4.4,-0.5,-1.0,-1.5 
Judges’ opposite side,2BL4,1.8,1.2,0.6,5.0,-0.5,-1.0,-1.5 
Pattern Dance Element,1MB1,1.8,1.2,0.6,3.2,-0.5,-1.0,-1.5 
Midnight Blues,1MB2,1.8,1.2,0.6,3.8,-0.5,-1.0,-1.5 
Section 1,1MB3,1.8,1.2,0.6,4.4,-0.5,-1.0,-1.5 
"",1MB4,1.8,1.2,0.6,5.0,-0.5,-1.0,-1.5 
Spin,Sp1,1.8,1.2,0.6,2.6,-0.3,-0.7,-1.0
"",Sp2,1.8,1.2,0.6,3.6,-0.5,-1.0,-1.5
"",Sp3,1.8,1.2,0.6,4.6,-0.5,-1.0,-1.5
"",Sp4,1.8,1.2,0.6,5.6,-0.5,-1.0,-1.5
Combination Spin,CoSp1,1.8,1.2,0.6,2.6,-0.3,-0.7,-1.0
"",CoSp2,1.8,1.2,0.6,3.6,-0.5,-1.0,-1.5
"",CoSp3,1.8,1.2,0.6,4.6,-0.5,-1.0,-1.5
"",CoSp4,1.8,1.2,0.6,5.6,-0.5,-1.0,-1.5
Stationary Lift,StaLi1,1.8,1.2,0.6,2.0,-0.3,-0.7,-1.0
"",StaLi2,1.8,1.2,0.6,3.0,-0.5,-1.0,-1.5
"",StaLi3,1.8,1.2,0.6,4.0,-0.5,-1.0,-1.5
"",StaLi4,1.8,1.2,0.6,4.5,-0.5,-1.0,-1.5
Straight Line Lift,SlLi1,1.8,1.2,0.6,2.0,-0.3,-0.7,-1.0
"",SlLi2,1.8,1.2,0.6,3.0,-0.5,-1.0,-1.5
"",SlLi3,1.8,1.2,0.6,4.0,-0.5,-1.0,-1.5
"",SlLi4,1.8,1.2,0.6,4.5,-0.5,-1.0,-1.5
Curve Lift,CuLi1,1.8,1.2,0.6,2.0,-0.3,-0.7,-1.0
"",CuLi2,1.8,1.2,0.6,3.0,-0.5,-1.0,-1.5
"",CuLi3,1.8,1.2,0.6,4.0,-0.5,-1.0,-1.5
"",CuLi4,1.8,1.2,0.6,4.5,-0.5,-1.0,-1.5
Rotational Lift,RoLi1,1.8,1.2,0.6,2.0,-0.3,-0.7,-1.0
"",RoLi2,1.8,1.2,0.6,3.0,-0.5,-1.0,-1.5
"",RoLi3,1.8,1.2,0.6,4.0,-0.5,-1.0,-1.5
"",RoLi4,1.8,1.2,0.6,4.5,-0.5,-1.0,-1.5
Set of Sequential or,STw1,1.8,1.2,0.6,3.1,-0.3,-0.7,-1.0
Synchronized Twizzles,STw2,1.8,1.2,0.6,4.6,-0.5,-1.0,-1.5
"",STw3,1.8,1.2,0.6,5.6,-0.5,-1.0,-1.5
"",STw4,1.8,1.2,0.6,6.6,-0.5,-1.0,-1.5
Partial Step Sequence,PStB,1.8,1.2,0.6,2.6,-0.5,1.0,-1.5
"",PSt1,1.8,1.2,0.6,4.1,-0.5,-1.0,-1.5
"",PSt2,3.3,2.2,1.1,5.6,-1.0,-2.0,-3.0
"",PSt3,3.3, 2.2,1.1,7.1, -1.0,-2.0,-3.0
"",PSt4,3.3,2.2,1.1,8.6,-1.0,-2.0,-3.0
Midline Step Sequence in,MiStB,1.8,1.2,0.6,2.6,-0.5,1.0,-1.5
Hold,MiSt1,1.8,1.2,0.6,4.1,-0.5,-1.0,-1.5
"",MiSt2,3.3,2.2,1.1,5.6,-1.0,-2.0,-3.0
"",MiSt3,3.3,2.2,1.1,7.1,-1.0,-2.0,-3.0
"",MiSt4,3.3,2.2,1.1,8.6,-1.0,-2.0,-3.0
Diagonal Step Sequence in,DiStB,1.8,1.2,0.6,2.6,-0.5,1.0,-1.5
Hold,DiSt1,1.8,1.2,0.6,4.1,-0.5,-1.0,-1.5
"",DiSt2,3.3,2.2,1.1,5.6,-1.0,-2.0,-3.0
"",DiSt3,3.3,2.2,1.1,7.1,-1.0,-2.0,-3.0
"",DiSt4,3.3,2.2,1.1,8.6,-1.0,-2.0,-3.0
Circular Step Sequence in,CiStB,1.8,1.2,0.6,2.6,-0.5,1.0,-1.5
Hold,CiSt1,1.8,1.2,0.6,4.1,-0.5,-1.0,-1.5
"",CiSt2,3.3,2.2,1.1,5.6,-1.0,-2.0,-3.0
"",CiSt3,3.3,2.2,1.1,7.1,-1.0,-2.0,-3.0
"",CiSt4,3.3,2.2,1.1,8.6,-1.0,-2.0,-3.0
Serpentine Step Sequence in,SeStB,1.8,1.2,0.6,2.6,-0.5,1.0,-1.5
Hold,SeSt1,1.8,1.2,0.6,4.1,-0.5,-1.0,-1.5
"",SeSt2,3.3,2.2,1.1,5.6,-1.0,-2.0,-3.0
"",SeSt3,3.3,2.2,1.1,7.1,-1.0,-2.0,-3.0
"",SeSt4,3.3,2.2,1.1,8.6,-1.0,-2.0,-3.0
Not Touching Midline Step,NtMiStB,1.8,1.2,0.6,2.6,-0.5,1.0,-1.5
Sequence,NtMiSt1,1.8,1.2,0.6,4.1,-0.5,-1.0,-1.5
"",NtMiSt2,3.3,2.2,1.1,5.6,-1.0,-2.0,-3.0
"",NtMiSt3,3.3,2.2,1.1,7.1,-1.0,-2.0,-3.0
"",NtMiSt4,3.3,2.2,1.1,8.6,-1.0,-2.0,-3.0
Not Touching Diagonal Step,NtDiStB,1.8,1.2,0.6,2.6,-0.5,1.0,-1.5
Sequence,NtDiSt1,1.8,1.2,0.6,4.1,-0.5,-1.0,-1.5
"",NtDiSt2,3.3,2.2,1.1,5.6,-1.0,-2.0,-3.0
"",NtDiSt3,3.3,2.2,1.1,7.1,-1.0,-2.0,-3.0
"",NtDiSt4,3.3,2.2,1.1,8.6,-1.0,-2.0,-3.0
Not Touching Circular Step,NtCiStB,1.8,1.2,0.6,2.6,-0.5,1.0,-1.5
Sequence,NtCiSt1,1.8,1.2,0.6,4.1,-0.5,-1.0,-1.5
"",NtCiSt2,3.3,2.2,1.1,5.6,-1.0,-2.0,-3.0
"",NtCiSt3,3.3,2.2,1.1,7.1,-1.0,-2.0,-3.0
"",NtCiSt4,3.3,2.2,1.1,8.6,-1.0,-2.0,-3.0
Not Touching Serpentine,NtSeStB,1.8,1.2,0.6,2.6,-0.5,1.0,-1.5
Step Sequence,NtSeSt1,1.8,1.2,0.6,4.1,-0.5,-1.0,-1.5
"",NtSeSt2,3.3,2.2,1.1,5.6,-1.0,-2.0,-3.0
"",NtSeSt3,3.3,2.2,1.1,7.1,-1.0,-2.0,-3.0
"",NtSeSt4,3.3,2.2,1.1,8.6,-1.0,-2.0,-3.0
Choreographic Dance Lift,ChLi1,2.1,1.4,0.7,0.7,-0.2,-0.4,-0.6
Choreographic Spinning,ChSp1,2.1,1.4,0.7,0.7,-0.2,-0.4,-0.6
Choreographic Twizzling,ChTw1,2.1,1.4,0.7,0.7,-0.2,-0.4,-0.6
