judge_name,assigned_country,role,segment_category,pdf_name,program,competition,officials_table_link,results_pdf_link,clean_judge_name
Ms. Weiguang CHEN,CHN,Judge No.6,Free Skating|Ladies,fa0655f6a7_data0205.pdf,LADIES FREE SKATING,Grand Prix Final 2017 Senior and Junior,http://www.isuresults.com/results/season1718/gpf1718/data0250.htm,http://www.isuresults.com/results/season1718/gpf1718/data0205.pdf,Weiguang CHEN
Ms. Elizabeth ALEXANDRE,AUS,Judge No.7,Free Skating|Ladies,fa0655f6a7_data0205.pdf,LADIES FREE SKATING,Grand Prix Final 2017 Senior and Junior,http://www.isuresults.com/results/season1718/gpf1718/data0250.htm,http://www.isuresults.com/results/season1718/gpf1718/data0205.pdf,Elizabeth  ALEXANDRE
Mr. Paolo PIZZOCARI,ITA,Judge No.8,Free Skating|Ladies,fa0655f6a7_data0205.pdf,LADIES FREE SKATING,Grand Prix Final 2017 Senior and Junior,http://www.isuresults.com/results/season1718/gpf1718/data0250.htm,http://www.isuresults.com/results/season1718/gpf1718/data0205.pdf,Paolo PIZZOCARI
Mr. Jeff LUKASIK,CAN,Judge No.9,Free Skating|Ladies,fa0655f6a7_data0205.pdf,LADIES FREE SKATING,Grand Prix Final 2017 Senior and Junior,http://www.isuresults.com/results/season1718/gpf1718/data0250.htm,http://www.isuresults.com/results/season1718/gpf1718/data0205.pdf,Jeff LUKASIK
Ms. Deveny DECK,USA,Judge No.1,Free Skating|Men,ab8381a9fb_data0105.pdf,MEN FREE SKATING,Grand Prix Final 2017 Senior and Junior,http://www.isuresults.com/results/season1718/gpf1718/data0150.htm,http://www.isuresults.com/results/season1718/gpf1718/data0105.pdf,Deveny DECK
Ms. Sakae YAMAMOTO,JPN,Judge No.2,Free Skating|Men,ab8381a9fb_data0105.pdf,MEN FREE SKATING,Grand Prix Final 2017 Senior and Junior,http://www.isuresults.com/results/season1718/gpf1718/data0150.htm,http://www.isuresults.com/results/season1718/gpf1718/data0105.pdf,Sakae YAMAMOTO
Ms. Olga KOZHEMIAKINA,RUS,Judge No.3,Free Skating|Men,ab8381a9fb_data0105.pdf,MEN FREE SKATING,Grand Prix Final 2017 Senior and Junior,http://www.isuresults.com/results/season1718/gpf1718/data0150.htm,http://www.isuresults.com/results/season1718/gpf1718/data0105.pdf,Olga KOZHEMIAKINA
Mr. Kersten BELLMANN,GER,Judge No.4,Free Skating|Men,ab8381a9fb_data0105.pdf,MEN FREE SKATING,Grand Prix Final 2017 Senior and Junior,http://www.isuresults.com/results/season1718/gpf1718/data0150.htm,http://www.isuresults.com/results/season1718/gpf1718/data0105.pdf,Kersten  BELLMANN
Ms. Weiguang CHEN,CHN,Judge No.5,Free Skating|Men,ab8381a9fb_data0105.pdf,MEN FREE SKATING,Grand Prix Final 2017 Senior and Junior,http://www.isuresults.com/results/season1718/gpf1718/data0150.htm,http://www.isuresults.com/results/season1718/gpf1718/data0105.pdf,Weiguang CHEN
Ms. Leanna CARON,CAN,Judge No.6,Free Skating|Men,ab8381a9fb_data0105.pdf,MEN FREE SKATING,Grand Prix Final 2017 Senior and Junior,http://www.isuresults.com/results/season1718/gpf1718/data0150.htm,http://www.isuresults.com/results/season1718/gpf1718/data0105.pdf,Leanna CARON
Ms. Saodat NUMANOVA,UZB,Judge No.7,Free Skating|Men,ab8381a9fb_data0105.pdf,MEN FREE SKATING,Grand Prix Final 2017 Senior and Junior,http://www.isuresults.com/results/season1718/gpf1718/data0150.htm,http://www.isuresults.com/results/season1718/gpf1718/data0105.pdf,Saodat NUMANOVA
Ms. Emilie BILLOW,SWE,Judge No.8,Free Skating|Men,ab8381a9fb_data0105.pdf,MEN FREE SKATING,Grand Prix Final 2017 Senior and Junior,http://www.isuresults.com/results/season1718/gpf1718/data0150.htm,http://www.isuresults.com/results/season1718/gpf1718/data0105.pdf,Emilie BILLOW
Mr. Anthony LEROY,FRA,Judge No.9,Free Skating|Men,ab8381a9fb_data0105.pdf,MEN FREE SKATING,Grand Prix Final 2017 Senior and Junior,http://www.isuresults.com/results/season1718/gpf1718/data0150.htm,http://www.isuresults.com/results/season1718/gpf1718/data0105.pdf,Anthony LEROY
Ms. Tomiko YAMADA,JPN,Judge No.1,Free Skating|Pairs,c40d14f7bb_data0305.pdf,PAIRS FREE SKATING,Grand Prix Final 2017 Senior and Junior,http://www.isuresults.com/results/season1718/gpf1718/data0350.htm,http://www.isuresults.com/results/season1718/gpf1718/data0305.pdf,Tomiko YAMADA
Ms. Elena FOMINA,RUS,Judge No.2,Free Skating|Pairs,c40d14f7bb_data0305.pdf,PAIRS FREE SKATING,Grand Prix Final 2017 Senior and Junior,http://www.isuresults.com/results/season1718/gpf1718/data0350.htm,http://www.isuresults.com/results/season1718/gpf1718/data0305.pdf,Elena FOMINA
Mr. Anthony LEROY,FRA,Judge No.3,Free Skating|Pairs,c40d14f7bb_data0305.pdf,PAIRS FREE SKATING,Grand Prix Final 2017 Senior and Junior,http://www.isuresults.com/results/season1718/gpf1718/data0350.htm,http://www.isuresults.com/results/season1718/gpf1718/data0305.pdf,Anthony LEROY
Mr. Jeff LUKASIK,CAN,Judge No.4,Free Skating|Pairs,c40d14f7bb_data0305.pdf,PAIRS FREE SKATING,Grand Prix Final 2017 Senior and Junior,http://www.isuresults.com/results/season1718/gpf1718/data0350.htm,http://www.isuresults.com/results/season1718/gpf1718/data0305.pdf,Jeff LUKASIK
